,Squad,Gls,Ast,CrdY,CrdR,PrgC,PrgP,Saves,Sh,SoT,FK,TB,Sw,Crs,CK,TklW,Blocks,Int,Clr,Err,Poss,Fls,Fld,Off,PKwon,PKcon,Recov
0,Arsenal,1.4736842105263157,0.9210526315789473,2.3157894736842106,0.13157894736842105,21.44736842105263,43.18421052631579,3.789473684210526,10.605263157894736,3.8421052631578947,12.81578947368421,1.763157894736842,4.026315789473684,18.394736842105264,6.078947368421052,8.842105263157896,10.473684210526315,9.236842105263158,19.842105263157894,0.47368421052631576,53.8,11.078947368421053,11.5,1.9210526315789473,0.05263157894736842,0.21052631578947367,48.973684210526315
1,Aston Villa,1.0526315789473684,0.8421052631578947,1.8421052631578947,0.02631578947368421,16.81578947368421,32.81578947368421,3.026315789473684,11.921052631578947,3.8684210526315788,14.789473684210526,0.4473684210526316,4.026315789473684,21.0,5.2631578947368425,7.657894736842105,12.0,11.131578947368421,24.42105263157895,0.6842105263157895,44.1,11.868421052631579,13.81578947368421,1.631578947368421,0.05263157894736842,0.15789473684210525,50.0
2,Bournemouth,1.0,0.631578947368421,2.0526315789473686,0.07894736842105263,15.81578947368421,33.05263157894737,3.3157894736842106,10.131578947368421,3.0789473684210527,11.842105263157896,0.7368421052631579,2.4210526315789473,17.0,5.105263157894737,7.868421052631579,11.552631578947368,12.5,26.526315789473685,0.42105263157894735,44.1,9.710526315789474,10.210526315789474,1.763157894736842,0.05263157894736842,0.15789473684210525,52.078947368421055
3,Brighton,0.9210526315789473,0.631578947368421,1.5526315789473684,0.05263157894736842,17.605263157894736,44.078947368421055,3.0526315789473686,12.105263157894736,3.6578947368421053,10.368421052631579,0.8947368421052632,5.2631578947368425,18.13157894736842,4.684210526315789,9.973684210526315,11.5,11.026315789473685,19.736842105263158,0.39473684210526316,52.2,10.157894736842104,8.552631578947368,1.868421052631579,0.05263157894736842,0.05263157894736842,54.3421052631579
4,Burnley,1.0789473684210527,0.7894736842105263,1.763157894736842,0.0,11.5,23.42105263157895,3.0789473684210527,10.105263157894736,3.263157894736842,10.736842105263158,0.7631578947368421,2.6052631578947367,19.55263157894737,4.473684210526316,9.052631578947368,11.842105263157896,10.18421052631579,23.710526315789473,0.39473684210526316,41.9,10.842105263157896,9.710526315789474,2.3421052631578947,0.02631578947368421,0.13157894736842105,48.94736842105263
5,Chelsea,1.8157894736842106,1.2105263157894737,1.5789473684210527,0.0,25.86842105263158,49.921052631578945,1.6842105263157894,16.263157894736842,5.526315789473684,10.552631578947368,1.605263157894737,5.657894736842105,22.68421052631579,6.5,9.526315789473685,9.5,12.078947368421053,16.605263157894736,0.3684210526315789,60.4,10.157894736842104,10.105263157894736,1.6578947368421053,0.15789473684210525,0.05263157894736842,58.1578947368421
6,Crystal Palace,0.7631578947368421,0.5263157894736842,1.631578947368421,0.05263157894736842,15.68421052631579,32.18421052631579,3.263157894736842,9.81578947368421,3.026315789473684,13.18421052631579,0.5,2.0789473684210527,15.473684210526315,4.657894736842105,10.263157894736842,10.5,11.68421052631579,22.526315789473685,0.47368421052631576,44.8,11.157894736842104,12.605263157894736,1.394736842105263,0.05263157894736842,0.02631578947368421,50.39473684210526
7,Everton,1.105263157894737,0.8421052631578947,2.0,0.07894736842105263,16.394736842105264,37.63157894736842,2.473684210526316,12.31578947368421,4.184210526315789,12.18421052631579,1.4473684210526316,4.342105263157895,21.157894736842106,5.342105263157895,10.736842105263158,9.789473684210526,10.736842105263158,20.473684210526315,0.34210526315789475,49.0,12.421052631578947,10.368421052631579,1.5263157894736843,0.0,0.10526315789473684,51.73684210526316
8,Leicester City,1.7105263157894737,1.263157894736842,1.131578947368421,0.07894736842105263,19.44736842105263,42.421052631578945,2.473684210526316,14.026315789473685,4.815789473684211,13.026315789473685,1.7894736842105263,3.3157894736842106,20.5,5.815789473684211,11.368421052631579,11.052631578947368,11.131578947368421,20.18421052631579,0.42105263157894735,57.1,11.0,11.68421052631579,1.6842105263157894,0.15789473684210525,0.2631578947368421,55.36842105263158
9,Liverpool,2.1842105263157894,1.8157894736842106,1.0,0.02631578947368421,25.44736842105263,51.078947368421055,1.9736842105263157,15.421052631578947,5.894736842105263,11.578947368421053,1.7894736842105263,7.447368421052632,23.57894736842105,6.7631578947368425,8.552631578947368,7.947368421052632,9.263157894736842,16.68421052631579,0.6578947368421053,62.9,8.710526315789474,7.7105263157894735,1.394736842105263,0.10526315789473684,0.02631578947368421,57.73684210526316
10,Manchester City,2.6315789473684212,1.8157894736842106,1.6842105263157894,0.10526315789473684,31.55263157894737,64.73684210526316,2.0,19.342105263157894,6.578947368421052,9.263157894736842,2.236842105263158,6.394736842105263,24.07894736842105,7.842105263157895,7.921052631578948,7.684210526315789,9.263157894736842,13.026315789473685,0.5526315789473685,66.2,9.526315789473685,7.7894736842105265,1.7894736842105263,0.2631578947368421,0.07894736842105263,51.55263157894737
11,Manchester Utd,1.7105263157894737,1.131578947368421,1.9210526315789473,0.0,24.36842105263158,47.05263157894737,2.526315789473684,13.947368421052632,5.2894736842105265,12.263157894736842,1.6842105263157894,4.5,16.710526315789473,5.368421052631579,8.763157894736842,9.473684210526315,9.973684210526315,18.5,0.3684210526315789,55.8,11.131578947368421,11.236842105263158,1.4736842105263157,0.3157894736842105,0.07894736842105263,54.8421052631579
12,Newcastle Utd,1.0,0.7631578947368421,1.736842105263158,0.07894736842105263,14.131578947368421,22.210526315789473,3.6578947368421053,10.473684210526315,3.473684210526316,12.18421052631579,0.47368421052631576,3.973684210526316,15.552631578947368,3.973684210526316,9.394736842105264,10.578947368421053,10.289473684210526,26.0,0.5,39.0,9.736842105263158,11.131578947368421,1.9736842105263157,0.0,0.05263157894736842,49.23684210526316
13,Norwich City,0.6578947368421053,0.47368421052631576,1.7894736842105263,0.07894736842105263,17.710526315789473,30.763157894736842,3.5526315789473686,10.710526315789474,3.3157894736842106,12.131578947368421,1.236842105263158,3.263157894736842,12.447368421052632,4.2631578947368425,9.973684210526315,11.921052631578947,10.447368421052632,25.236842105263158,0.5263157894736842,49.3,9.552631578947368,11.31578947368421,1.3157894736842106,0.02631578947368421,0.18421052631578946,52.3421052631579
14,Sheffield Utd,0.9473684210526315,0.6578947368421053,1.6578947368421053,0.05263157894736842,12.973684210526315,35.578947368421055,2.6052631578947367,9.263157894736842,2.8684210526315788,9.868421052631579,0.39473684210526316,5.421052631578948,22.789473684210527,5.578947368421052,9.921052631578947,8.842105263157896,11.052631578947368,24.5,0.42105263157894735,43.1,10.842105263157896,8.052631578947368,2.0526315789473686,0.02631578947368421,0.07894736842105263,53.71052631578947
15,Southampton,1.3421052631578947,0.8421052631578947,1.4473684210526316,0.10526315789473684,16.526315789473685,35.13157894736842,2.8421052631578947,13.0,4.5,11.789473684210526,0.7105263157894737,3.5,18.157894736842106,5.526315789473684,10.947368421052632,12.842105263157896,11.18421052631579,22.81578947368421,0.5526315789473685,48.9,11.842105263157896,10.210526315789474,1.5263157894736843,0.10526315789473684,0.10526315789473684,56.578947368421055
16,Tottenham,1.4736842105263157,1.0263157894736843,2.210526315789474,0.07894736842105263,20.210526315789473,37.10526315789474,3.526315789473684,11.578947368421053,4.052631578947368,12.210526315789474,2.0789473684210527,2.973684210526316,16.86842105263158,5.2631578947368425,10.921052631578947,11.605263157894736,10.026315789473685,23.526315789473685,0.631578947368421,52.0,11.131578947368421,11.157894736842104,1.736842105263158,0.10526315789473684,0.18421052631578946,53.21052631578947
17,Watford,0.9210526315789473,0.5526315789473685,2.1052631578947367,0.07894736842105263,15.210526315789474,30.736842105263158,3.0526315789473686,10.947368421052632,2.9473684210526314,10.473684210526315,0.2894736842105263,3.526315789473684,18.0,4.394736842105263,9.710526315789474,10.421052631578947,11.157894736842104,22.86842105263158,0.10526315789473684,42.9,12.657894736842104,9.0,1.7894736842105263,0.18421052631578946,0.23684210526315788,52.526315789473685
